experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSAUTWT,98151,PRA4QQX,1,,Unknown,2020-11-04 12:32:20.392000-05:00,2020-11-04 12:32:31.823000-05:00,1,11.431,11.426,"(0%) No, I can’t solve these problems",False,0.0,True,1,0,0,0,0,False,False,False,69778467
PSAUTWT,98151,PRA4QJZ,1,,Unknown,2020-11-04 12:32:32.952000-05:00,2020-11-04 12:32:40.828000-05:00,1,7.876,7.873,I want to use my teacher's recommendation (3 right in a row).,True,1.0,True,1,0,0,0,0,False,False,False,69778741
PSAUTWT,98151,PRA4QPA,1,,Treatment 1,2020-11-04 12:32:42.380000-05:00,2020-11-04 12:32:46.684000-05:00,1,4.304,4.301,180,True,1.0,True,1,1,0,0,0,False,False,False,69778944
PSAUTWT,98151,PRA4QPB,1,,Treatment 1,2020-11-04 12:32:48.466000-05:00,2020-11-04 12:32:52.848000-05:00,1,4.382,4.378,360,True,1.0,True,1,1,0,0,0,False,False,False,69779091
PSAUTWT,98151,PRA4QPC,1,,Treatment 1,2020-11-04 12:32:54.082000-05:00,2020-11-04 12:33:26.655000-05:00,1,32.573,32.57,810,True,1.0,True,1,1,0,0,0,False,False,False,69779202
PSAUTWT,98151,PRA4QQY,1,,Unknown,2020-11-04 12:33:28.536000-05:00,2020-11-04 12:33:38.780000-05:00,1,10.244,10.241,(50%) Maybe I can solve these problems,False,0.0,True,1,0,0,0,0,False,False,False,69779945
PSAUTWT,98153,PRA4QQX,1,,Unknown,2020-11-09 12:53:12.130000-05:00,2020-11-09 12:53:18.258000-05:00,1,6.128,6.124,(25%) I don’t think I can solve these problems,False,0.0,True,1,0,0,0,0,False,False,False,71714804
PSAUTWT,98153,PRA4QPA,1,,Control 1,2020-11-09 12:53:19.919000-05:00,2020-11-09 12:53:25.829000-05:00,1,5.91,5.906,180,True,1.0,True,1,1,0,0,0,False,False,False,71714978
PSAUTWT,98153,PRA4QPB,1,,Control 1,2020-11-09 12:53:27.665000-05:00,2020-11-09 12:53:32.510000-05:00,1,4.845,4.842,360,True,1.0,True,1,1,0,0,0,False,False,False,71715133
PSAUTWT,98153,PRA547E,1,,Unknown,2020-11-09 12:53:33.968000-05:00,2020-11-09 12:53:36.331000-05:00,1,2.363,2.361,I am ready to work until I get three right in a row.,False,0.0,True,1,0,0,0,0,False,False,False,71715254
PSAUTWT,98153,PRA4QQY,1,,Unknown,2020-11-09 12:53:37.620000-05:00,2020-11-09 12:53:41.164000-05:00,1,3.544,3.541,"(0%) No, I can’t solve these problems",False,0.0,True,1,0,0,0,0,False,False,False,71715330
PSAUTWT,98351,PRA4QQX,1,,Unknown,2020-11-09 12:52:18.641000-05:00,2020-11-09 12:52:36.876000-05:00,1,18.235,18.23,(50%) Maybe I can solve these problems,False,0.0,True,1,0,0,0,0,False,False,False,71713742
PSAUTWT,98351,PRA4QJZ,1,,Unknown,2020-11-09 12:52:57.843000-05:00,2020-11-09 12:53:11.605000-05:00,1,13.762,13.757,I want to use my teacher's recommendation (3 right in a row).,True,1.0,True,1,0,0,0,0,False,False,False,71714522
PSAUTWT,98351,PRA4QPA,1,,Treatment 1,2020-11-09 12:53:13.570000-05:00,2020-11-09 12:53:22.787000-05:00,1,9.217,9.213,180,True,1.0,True,1,1,0,0,0,False,False,False,71714833
PSAUTWT,98351,PRA4QPB,1,,Treatment 1,2020-11-09 12:53:25.102000-05:00,2020-11-09 12:53:30.046000-05:00,1,4.944,4.94,360,True,1.0,True,1,1,0,0,0,False,False,False,71715078
PSAUTWT,98351,PRA4QPC,1,,Treatment 1,2020-11-09 12:53:30.670000-05:00,2020-11-09 12:54:17.072000-05:00,1,46.402,21.364,990,False,0.333333333333333,True,3,1,0,0,0,False,False,False,71715185
PSAUTWT,98351,PRA4QPD,1,,Treatment 1,2020-11-09 12:54:17.824000-05:00,2020-11-09 12:54:25.033000-05:00,1,7.209,7.206,160,True,1.0,True,1,1,0,0,0,False,False,False,71716177
PSAUTWT,98351,PRA4QPE,1,,Treatment 1,2020-11-09 12:55:26.834000-05:00,2020-11-09 14:07:30.325000-05:00,1,4323.491,4323.46,240,True,1.0,True,1,1,0,0,0,False,False,False,71766593
PSAUTWT,98351,PRA4QPF,1,,Treatment 1,2020-11-09 14:07:32.258000-05:00,2020-11-09 14:07:39.944000-05:00,1,7.686,7.679,140,True,1.0,True,1,1,0,0,0,False,False,False,72013298
PSAUTWT,98351,PRA4QQY,1,,Unknown,2020-11-09 14:07:45.124000-05:00,2020-12-10 12:20:43.591000-05:00,2,2671978.467,2671978.463,"(0%) No, I can’t solve these problems",False,0.0,True,1,0,0,0,0,False,False,False,72013394
PSAUTWT,98536,PRA4QQX,1,,Unknown,2020-11-18 12:17:58.599000-05:00,2020-11-18 12:18:22.496000-05:00,1,23.897,23.892,"(100%) Yes, I can solve these problems",True,1.0,True,1,0,0,0,0,False,False,False,76205691
PSAUTWT,98536,PRA4QPA,1,,Control 3,2020-11-18 12:18:40.441000-05:00,2020-11-18 12:18:44.133000-05:00,1,3.692,3.686,180,True,1.0,True,1,1,0,0,0,False,False,False,76206461
PSAUTWT,98536,PRA4QPB,1,,Control 3,2020-11-18 12:18:45.467000-05:00,2020-11-18 12:18:48.847000-05:00,1,3.38,3.377,360,True,1.0,True,1,1,0,0,0,False,False,False,76206564
PSAUTWT,98536,PRA4QPC,1,,Control 3,2020-11-18 12:18:50.330000-05:00,2020-11-18 12:19:01.507000-05:00,1,11.177,4.08,180,False,0.333333333333333,True,3,1,0,0,0,False,False,False,76206640
PSAUTWT,98536,PRA4QPD,1,,Control 3,2020-11-18 12:19:02.879000-05:00,2020-11-18 12:19:05.364000-05:00,1,2.485,2.48,160,True,1.0,True,1,1,0,0,0,False,False,False,76206885
PSAUTWT,98536,PRA4QPE,1,,Control 3,2020-11-18 12:19:06.361000-05:00,2020-11-18 12:19:13.463000-05:00,1,7.102,2.102,100,False,0.666666666666667,True,2,1,0,0,0,False,False,False,76206955
PSAUTWT,98536,PRA4QPF,1,,Control 3,2020-11-18 12:19:14.720000-05:00,2020-11-18 12:19:16.815000-05:00,1,2.095,2.093,140,True,1.0,True,1,1,0,0,0,False,False,False,76207108
PSAUTWT,98536,PRA4QPG,1,,Control 3,2020-11-18 12:19:18.501000-05:00,2020-11-18 12:19:22.136000-05:00,1,3.635,3.632,320,True,1.0,True,1,1,0,0,0,False,False,False,76207181
PSAUTWT,98536,PRA4QPH,1,,Control 3,2020-11-18 12:19:23.535000-05:00,2020-11-18 12:19:27.201000-05:00,1,3.666,3.663,200,True,1.0,True,1,1,0,0,0,False,False,False,76207264
PSAUTWT,98536,PRA4QPJ,1,,Control 3,2020-11-18 12:19:28.345000-05:00,2020-11-18 12:19:30.683000-05:00,1,2.338,2.335,350,True,1.0,True,1,1,0,0,0,False,False,False,76207354
PSAUTWT,98536,PRA547E,1,,Unknown,2020-11-18 12:19:31.823000-05:00,2020-11-18 12:19:34.727000-05:00,1,2.904,2.901,I am ready to work until I get three right in a row.,False,0.0,True,1,0,0,0,0,False,False,False,76207422
PSAUTWT,98536,PRA4QQY,1,,Unknown,2020-11-18 12:19:35.669000-05:00,2020-11-18 12:19:38.499000-05:00,1,2.83,2.828,"(100%) Yes, I can solve these problems",True,1.0,True,1,0,0,0,0,False,False,False,76207482
PSAUTWT,98601,PRA4QQX,1,,Unknown,2020-11-04 12:40:43.127000-05:00,2020-11-04 12:40:54.989000-05:00,1,11.862,11.857,(50%) Maybe I can solve these problems,False,0.0,True,1,0,0,0,0,False,False,False,69788569
PSAUTWT,98601,PRA4QPA,1,,Control 3,2020-11-04 12:40:56.870000-05:00,2020-11-04 12:41:00.816000-05:00,1,3.946,3.943,180,True,1.0,True,1,1,0,0,0,False,False,False,69788818
PSAUTWT,98601,PRA4QPB,1,,Control 3,2020-11-04 12:41:01.344000-05:00,2020-11-04 12:41:16.300000-05:00,1,14.956,5.172,36,False,0.666666666666667,True,2,1,0,0,0,False,False,False,69788903
PSAUTWT,98601,PRA4QPC,1,,Control 3,2020-11-04 12:41:16.939000-05:00,2020-11-04 12:41:41.022000-05:00,1,24.083,5.182,180,False,0.666666666666667,True,2,1,0,0,0,False,False,False,69789224
PSAUTWT,98601,PRA4QPD,1,,Control 3,2020-11-04 12:41:41.636000-05:00,2020-11-04 12:41:45.684000-05:00,1,4.048,4.045,160,True,1.0,True,1,1,0,0,0,False,False,False,69789702
PSAUTWT,98601,PRA4QPE,1,,Control 3,2020-11-04 12:42:18.232000-05:00,2020-11-04 12:42:23.559000-05:00,1,5.327,5.324,240,True,1.0,True,1,1,0,0,0,False,False,False,69790467
PSAUTWT,98601,PRA4QPF,1,,Control 3,2020-11-04 12:42:24.137000-05:00,2020-11-04 12:42:27.983000-05:00,1,3.846,3.842,140,True,1.0,True,1,1,0,0,0,False,False,False,69790598
PSAUTWT,98601,PRA4QPG,1,,Control 3,2020-11-04 12:42:28.449000-05:00,2020-11-04 12:42:32.428000-05:00,1,3.979,3.976,320,True,1.0,True,1,1,0,0,0,False,False,False,69790698
PSAUTWT,98601,PRA547E,1,,Unknown,2020-11-04 12:42:32.953000-05:00,2020-11-04 12:42:37.804000-05:00,1,4.851,4.848,I am ready to work until I get three right in a row.,False,0.0,True,1,0,0,0,0,False,False,False,69790778
PSAUTWT,98601,PRA4QQY,1,,Unknown,2020-11-04 12:42:38.631000-05:00,2020-11-04 12:43:46.558000-05:00,1,67.927,67.924,(75%) I think I can solve these problems,True,1.0,True,1,0,0,0,0,False,False,False,69790912
